title,GMTED1km,GMTED5km,GMTED10km,GMTED50km,GMTED100km,Sources Layers
Flat geomorphological landform - Percentage  ,geomflat_1KMperc_GMTEDmd,geomflat_5KMperc_GMTEDmd,geomflat_10KMperc_GMTEDmd,geomflat_50KMperc_GMTEDmd,geomflat_100KMperc_GMTEDmd,GMTED
Peak geomorphological landform - Percentage  ,geompeak_1KMperc_GMTEDmd,geompeak_5KMperc_GMTEDmd,geompeak_10KMperc_GMTEDmd,geompeak_50KMperc_GMTEDmd,geompeak_100KMperc_GMTEDmd,GMTED
Ridge geomorphological landform - Percentage,geomridge_1KMperc_GMTEDmd,geomridge_5KMperc_GMTEDmd,geomridge_10KMperc_GMTEDmd,geomridge_50KMperc_GMTEDmd,geomridge_100KMperc_GMTEDmd,GMTED
Shoulder geomorphological landform - Percentage,geomshoulder_1KMperc_GMTEDmd,geomshoulder_5KMperc_GMTEDmd,geomshoulder_10KMperc_GMTEDmd,geomshoulder_50KMperc_GMTEDmd,geomshoulder_100KMperc_GMTEDmd,GMTED
Spur geomorphological landform - Percentage,geomspur_1KMperc_GMTEDmd,geomspur_5KMperc_GMTEDmd,geomspur_10KMperc_GMTEDmd,geomspur_50KMperc_GMTEDmd,geomspur_100KMperc_GMTEDmd,GMTED
Slope geomorphological landform - Percentage,geomfootslope_1KMperc_GMTEDmd,geomfootslope_5KMperc_GMTEDmd,geomfootslope_10KMperc_GMTEDmd,geomfootslope_50KMperc_GMTEDmd,geomfootslope_100KMperc_GMTEDmd,GMTED
Hollow geomorphological landform - Percentage,geomhollow_1KMperc_GMTEDmd,geomhollow_5KMperc_GMTEDmd,geomhollow_10KMperc_GMTEDmd,geomhollow_50KMperc_GMTEDmd,geomhollow_100KMperc_GMTEDmd,GMTED
Footslope geomorphological landform - Percentage,geomslope_1KMperc_GMTEDmd,geomslope_5KMperc_GMTEDmd,geomslope_10KMperc_GMTEDmd,geomslope_50KMperc_GMTEDmd,geomslope_100KMperc_GMTEDmd,GMTED
Valley geomorphological landform - Percentage,geomvalley_1KMperc_GMTEDmd,geomvalley_5KMperc_GMTEDmd,geomvalley_10KMperc_GMTEDmd,geomvalley_50KMperc_GMTEDmd,geomvalley_100KMperc_GMTEDmd,GMTED
Pit geomorphological landform - Percentage,geompit_1KMperc_GMTEDmd,geompit_5KMperc_GMTEDmd,geompit_10KMperc_GMTEDmd,geompit_50KMperc_GMTEDmd,geompit_100KMperc_GMTEDmd,GMTED
Majority of geomorphological landforms  ,geom_1KMmaj_GMTEDmd,geom_5KMmaj_GMTEDmd,geom_10KMmaj_GMTEDmd,geom_50KMmaj_GMTEDmd,geom_100KMmaj_GMTEDmd,GMTED
Count of geomorphological landforms  ,geom_1KMcount_GMTEDmd,geom_5KMcount_GMTEDmd,geom_10KMcount_GMTEDmd,geom_50KMcount_GMTEDmd,geom_100KMcount_GMTEDmd,GMTED
Shannon index of geomorphological landforms    ,geom_1KMsha_GMTEDmd,geom_5KMsha_GMTEDmd,geom_10KMsha_GMTEDmd,geom_50KMsha_GMTEDmd,geom_100KMsha_GMTEDmd,GMTED
Entropy of geomorphological landforms    ,geom_1KMent_GMTEDmd,geom_5KMent_GMTEDmd,geom_10KMent_GMTEDmd,geom_50KMent_GMTEDmd,geom_100KMent_GMTEDmd,GMTED
Uniformity of geomorphological landforms    ,geom_1KMuni_GMTEDmd,geom_5KMuni_GMTEDmd,geom_10KMuni_GMTEDmd,geom_50KMuni_GMTEDmd,geom_100KMuni_GMTEDmd,GMTED
